"aquaticSiteType","siteID.x","namedLocation.x","collectDate.x","eventID","parentSampleID","sampleID","habitatType","algalSampleType","samplerType","benthicArea","substratumSizeClass","plantSurfaceArea","fieldSampleVolume","labSampleVolume","preservativeVolume","domainFilterVolume","ashMassDataQF","adjAshFreeDryMass"
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPILITHON.2","HOPB.20161005.EPILITHON.2","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,5,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPIPSAMMON.1","HOPB.20161005.EPIPSAMMON.1","pool","epipsammon","grab",0.005938,"sand",NA,60,NA,NA,2,NA,0.0028
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPIPSAMMON.2","HOPB.20161005.EPIPSAMMON.2","pool","epipsammon","grab",0.005938,"sand",NA,60,NA,NA,2,NA,0.0021
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPILITHON.5","HOPB.20161005.EPILITHON.5","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,5,NA,9e-04
"stream","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.SESTON.1","HOPB.20161005.SESTON.1","pool","seston","grab",NA,"cobble",NA,5000,NA,NA,250,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPIPSAMMON.3","HOPB.20161005.EPIPSAMMON.3","pool","epipsammon","grab",0.005938,"sand",NA,60,NA,NA,2,NA,0.0033
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPILITHON.1","HOPB.20161005.EPILITHON.1","riffle","epilithon","scrub",0.002406,"cobble",NA,150,NA,NA,5,NA,0.0015
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPILITHON.4","HOPB.20161005.EPILITHON.4","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,5,NA,0.0014
"stream","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005","HOPB.20161005.EPILITHON.3","HOPB.20161005.EPILITHON.3","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,5,NA,0.0019
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPIPSAMMON.2","HOPB.20170419.EPIPSAMMON.2","pool","epipsammon","grab",0.005938,"sand",NA,125,NA,NA,2,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPILITHON.3","HOPB.20170419.EPILITHON.3","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.S2",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.SESTON.1","HOPB.20170419.SESTON.1","pool","seston","grab",NA,"cobble",NA,5000,NA,NA,250,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPILITHON.5","HOPB.20170419.EPILITHON.5","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,9e-04
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPIPSAMMON.1","HOPB.20170419.EPIPSAMMON.1","pool","epipsammon","grab",0.005938,"sand",NA,125,NA,NA,2,NA,2e-04
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPILITHON.4","HOPB.20170419.EPILITHON.4","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0.001
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPIPSAMMON.3","HOPB.20170419.EPIPSAMMON.3","pool","epipsammon","grab",0.005938,"cobble",NA,125,NA,NA,2,NA,0.0012
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPILITHON.1","HOPB.20170419.EPILITHON.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2017-04-19 09:05:00,"HOPB.20170419","HOPB.20170419.EPILITHON.2","HOPB.20170419.EPILITHON.2","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0.001
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPILITHON.3","HOPB.20170719.EPILITHON.3","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPILITHON.1","HOPB.20170719.EPILITHON.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,6e-04
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPILITHON.4","HOPB.20170719.EPILITHON.4","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,6e-04
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPIPSAMMON.3","HOPB.20170719.EPIPSAMMON.3","pool","epipsammon","grab",0.005938,"sand",NA,125,NA,NA,2,NA,0.0052
"stream","HOPB","HOPB.AOS.S2",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.SESTON.1","HOPB.20170719.SESTON.1","pool","seston","grab",NA,"sand",NA,5000,NA,NA,400,NA,0.001
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPILITHON.5","HOPB.20170719.EPILITHON.5","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,5e-04
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPIPSAMMON.1","HOPB.20170719.EPIPSAMMON.1","pool","epipsammon","grab",0.005938,"sand",NA,145,NA,NA,2,NA,0.0012
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPIPSAMMON.2","HOPB.20170719.EPIPSAMMON.2","pool","epipsammon","grab",0.005938,"sand",NA,125,NA,NA,2,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2017-07-19 14:30:00,"HOPB.20170719","HOPB.20170719.EPILITHON.2","HOPB.20170719.EPILITHON.2","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.S2",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.SESTON.1","HOPB.20171012.SESTON.1","pool","seston","grab",NA,"cobble",NA,5000,NA,NA,250,NA,2e-04
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.5","HOPB.20171012.EPILITHON.5","riffle","epilithon","scrub",0.002406,"sand",NA,125,NA,NA,3,NA,0.0019
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.7","HOPB.20171012.EPILITHON.7","pool","epilithon","scrub",0.002406,"silt",NA,125,NA,NA,3,NA,0.0043
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.6","HOPB.20171012.EPILITHON.6","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,3,NA,4e-04
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.4","HOPB.20171012.EPILITHON.4","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,3,NA,8e-04
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.1","HOPB.20171012.EPILITHON.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,3,NA,9e-04
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.2","HOPB.20171012.EPILITHON.2","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,3,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.3","HOPB.20171012.EPILITHON.3","pool","epilithon","scrub",0.002406,"pebble",NA,125,NA,NA,3,NA,0.0014
"stream","HOPB","HOPB.AOS.reach",2017-10-12 13:28:00,"HOPB.20171012","HOPB.20171012.EPILITHON.8","HOPB.20171012.EPILITHON.8","pool","epilithon","scrub",0.002406,"silt",NA,125,NA,NA,3,NA,0.001
"stream","HOPB","HOPB.AOS.S2",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.SESTON.1","HOPB.20180417.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,350,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPILITHON.5","HOPB.20180417.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPIPSAMMON.1","HOPB.20180417.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,175,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPILITHON.1","HOPB.20180417.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPILITHON.3","HOPB.20180417.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0.001
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPIPSAMMON.2","HOPB.20180417.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,130,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPILITHON.4","HOPB.20180417.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPIPSAMMON.3","HOPB.20180417.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,138,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.reach",2018-04-17 14:08:00,"HOPB.20180417","HOPB.20180417.EPILITHON.2","HOPB.20180417.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.S2",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.SESTON.1","HOPB.20180723.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,350,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPILITHON.1","HOPB.20180723.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,4,NA,9e-04
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPILITHON.5","HOPB.20180723.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,4,NA,0.001
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPIPSAMMON.1","HOPB.20180723.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,136,NA,NA,4,NA,0.0019
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPILITHON.3","HOPB.20180723.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,4,NA,8e-04
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPIPSAMMON.3","HOPB.20180723.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,144,NA,NA,4,NA,0.0022
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPIPSAMMON.2","HOPB.20180723.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,148,NA,NA,4,NA,0.0022
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPILITHON.2","HOPB.20180723.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,4,NA,0.0011
"stream","HOPB","HOPB.AOS.reach",2018-07-23 14:51:00,"HOPB.20180723","HOPB.20180723.EPILITHON.4","HOPB.20180723.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,4,NA,7e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPILITHON.5","HOPB.20181010.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,6e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPILITHON.3","HOPB.20181010.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPIPSAMMON.1","HOPB.20181010.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,103,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPILITHON.1","HOPB.20181010.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPIPSAMMON.2","HOPB.20181010.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,132,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.S2",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.SESTON.1","HOPB.20181010.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,250,NA,5e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPILITHON.4","HOPB.20181010.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPILITHON.2","HOPB.20181010.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.reach",2018-10-10 12:37:00,"HOPB.20181010","HOPB.20181010.EPIPSAMMON.3","HOPB.20181010.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,126,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPIPSAMMON.3","HOPB.20190417.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,137,NA,NA,2,NA,0.0026
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPILITHON.2","HOPB.20190417.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPILITHON.5","HOPB.20190417.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.S2",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.SESTON.1","HOPB.20190417.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,252,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPIPSAMMON.1","HOPB.20190417.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,139,NA,NA,2,NA,0.0015
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPILITHON.1","HOPB.20190417.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPILITHON.4","HOPB.20190417.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPILITHON.3","HOPB.20190417.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2019-04-17 14:15:00,"HOPB.20190417","HOPB.20190417.EPIPSAMMON.2","HOPB.20190417.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,140,NA,NA,2,NA,0.0013
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPILITHON.3","HOPB.20190715.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.S2",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.SESTON.1","HOPB.20190715.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,300,NA,2e-04
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPILITHON.5","HOPB.20190715.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPIPSAMMON.3","HOPB.20190715.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,125,NA,NA,2,NA,0.003
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPIPSAMMON.1","HOPB.20190715.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,130,NA,NA,2,NA,0.0021
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPILITHON.4","HOPB.20190715.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPILITHON.2","HOPB.20190715.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPILITHON.1","HOPB.20190715.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,2e-04
"stream","HOPB","HOPB.AOS.reach",2019-07-15 15:16:00,"HOPB.20190715","HOPB.20190715.EPIPSAMMON.2","HOPB.20190715.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,150,NA,NA,2,NA,0.0011
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPILITHON.4","HOPB.20191007.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPILITHON.2","HOPB.20191007.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.S2",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.SESTON.1","HOPB.20191007.SESTON.1.AFDM.1","pool","seston","grab",NA,"pebble",NA,1000,NA,NA,400,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPIPSAMMON.3","HOPB.20191007.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,158,NA,NA,2,NA,0.0039
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPILITHON.3","HOPB.20191007.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,2e-04
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPILITHON.1","HOPB.20191007.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPIPSAMMON.1","HOPB.20191007.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,175,NA,NA,2,NA,0.002
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPIPSAMMON.2","HOPB.20191007.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,125,NA,NA,2,NA,0.0016
"stream","HOPB","HOPB.AOS.reach",2019-10-07 13:17:00,"HOPB.20191007","HOPB.20191007.EPILITHON.5","HOPB.20191007.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,0
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPILITHON.2","HOPB.20200719.EPILITHON.2.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPILITHON.3","HOPB.20200719.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPIPSAMMON.3","HOPB.20200719.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,130,NA,NA,2,NA,0.0066
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPIPSAMMON.2","HOPB.20200719.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,130,NA,NA,2,NA,0.0024
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPILITHON.1","HOPB.20200719.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,2e-04
"stream","HOPB","HOPB.AOS.S2",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.SESTON.1","HOPB.20200719.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,250,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPILITHON.4","HOPB.20200719.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,4e-04
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPIPSAMMON.1","HOPB.20200719.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,136,NA,NA,2,NA,6e-04
"stream","HOPB","HOPB.AOS.reach",2020-07-19 13:53:00,"HOPB.20200719","HOPB.20200719.EPILITHON.5","HOPB.20200719.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPILITHON.1","HOPB.20201012.EPILITHON.1.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPILITHON.3","HOPB.20201012.EPILITHON.3.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPIPSAMMON.3","HOPB.20201012.EPIPSAMMON.3.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,134,NA,NA,2,NA,5e-04
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPILITHON.4","HOPB.20201012.EPILITHON.4.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,1e-04
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPIPSAMMON.2","HOPB.20201012.EPIPSAMMON.2.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,131,NA,NA,2,NA,0.0026
"stream","HOPB","HOPB.AOS.S2",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.SESTON.1","HOPB.20201012.SESTON.1.AFDM.1","pool","seston","grab",NA,"sand",NA,1000,NA,NA,250,NA,0
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPILITHON.5","HOPB.20201012.EPILITHON.5.AFDM.1","riffle","epilithon","scrub",0.002406,"cobble",NA,125,NA,NA,2,NA,3e-04
"stream","HOPB","HOPB.AOS.reach",2020-10-12 14:58:00,"HOPB.20201012","HOPB.20201012.EPIPSAMMON.1","HOPB.20201012.EPIPSAMMON.1.AFDM.1","pool","epipsammon","grab",0.005938,"sand",NA,138,NA,NA,2,NA,4e-04
